team1_pts,team2_pts
20,23
14,59
28,24
41,35
20,10
37,25
9,0
35,17
22,14
16,24
13,10
33,25
35,38
28,18
33,3
10,20
17,30
27,21
19,22
34,14
29,23
10,26
23,20
3,34
24,27
7,41
20,23
24,26
45,7
27,21
26,21
14,12
31,16
27,13
17,23
26,20
17,29
31,24
29,49
36,18
33,20
20,23
26,39
28,59
0,16
31,49
35,19
35,3
24,20
13,31
27,30
16,19
37,13
31,3
17,34
34,19
0,21
31,28
17,27
35,14
45,24
27,30
10,26
20,17
19,16
0,20
24,20
13,17
23,24
33,17
42,24
31,26
17,10
36,33
36,14
6,27
34,24
10,13
34,16
7,31
20,24
34,30
10,6
6,17
14,38
13,28
38,35
6,19
24,28
31,14
13,10
3,45
30,28
13,6
7,23
31,38
31,10
3,7
17,16
31,13
21,40
43,13
31,0
6,10
36,7
27,30
3,21
28,34
34,7
27,13
14,17
17,19
34,24
17,31
30,33
20,23
30,24
31,38
19,12
18,34
23,39
22,17
27,31
40,14
27,3
27,26
25,17
34,3
34,38
20,10
27,34
17,20
34,14
34,20
26,31
24,23
45,17
15,38
14,17
14,24
23,13
13,7
41,9
31,10
7,38
31,10
38,7
13,20
10,3
7,38
14,13
28,33
34,17
20,23
14,17
6,16
41,36
17,16
30,7
21,16
24,31
21,48
24,35
21,28
14,21
24,19
25,31
34,42
31,13
7,34
16,14
35,7
30,12
41,7
17,27
20,27
28,21
17,24
33,17
14,28
27,24
24,38
23,20
30,23
30,13
19,27
48,3
32,3
13,26
0,24
38,35
22,21
20,24
27,24
22,24
23,13
35,21
31,35
16,28
16,10
13,8
16,17
17,14
40,33
34,31
29,16
26,23
34,24
20,17
37,7
27,17
13,10
16,13
23,20
16,18
10,17
34,30
17,22
20,23
13,31
17,10
23,10
24,23
34,29
28,30
31,27
49,23
26,16
19,31
34,17
24,17
30,20
28,24
25,20
38,17
24,31
27,30
25,36
10,34
48,3
30,21
24,29
25,14
24,13
31,17
24,27
27,17
3,24
17,13
25,19
13,20
24,17
29,14
16,20
20,26
10,39
6,24
18,15
7,41
21,27
3,6
16,23
33,20
18,24
20,32
7,34
27,33
28,0
7,62
12,7
21,31
27,30
20,17
27,10
14,24
24,21
23,0
45,10
10,20
17,25
34,12
7,34
20,23
31,7
23,13
27,11
12,30
3,31
11,19
27,16
17,24
38,24
19,13
45,38
20,24
20,23
30,24
24,17
44,7
24,17
17,21
17,3
9,37
23,26
13,12
17,10
9,20
3,30
22,17
20,27
13,37
37,16
45,7
17,13
35,8
35,49
24,31
14,10
26,35
24,27
21,27
7,23
24,7
17,23
31,20
17,10
34,3
15,27
20,19
16,6
23,20
24,14
24,28
20,23
23,17
27,19
20,13
20,25
23,17
16,13
38,20
13,9
24,49
14,31
17,23
19,38
7,35
24,31
10,17
10,3
34,14
34,19
35,32
10,24
13,19
35,38
0,26
17,31
38,14
3,14
19,20
10,24
10,37
28,34
14,41
10,26
17,22
34,27
23,31
13,10
21,19
10,37
16,46
37,34
13,30
14,41
31,15
13,20
30,23
23,10
28,13
38,14
13,27
14,19
42,20
27,28
20,17
23,41
45,19
34,14
20,3
16,19
40,14
23,16
17,23
27,24
27,0
14,20
13,16
29,14
48,16
26,33
10,38
7,20
19,17
21,35
45,16
34,27
49,21
41,45
22,23
17,19
34,10
17,45
13,19
17,13
20,23
26,38
24,16
13,9
3,7
45,24
14,31
31,10
28,45
24,2
29,23
36,32
45,10
20,13
20,37
20,23
17,20
21,17
24,17
21,41
40,24
48,28
16,17
23,27
10,30
32,40
13,34
26,23
20,16
30,22
16,10
31,19
13,44
22,14
10,23
17,35
34,27
18,20
13,35
27,35
23,20
27,7
34,41
24,23
31,28
7,27
27,10
38,10
19,27
21,27
7,36
14,24
27,24
31,38
22,17
44,41
20,23
23,6
10,16
24,13
27,3
27,6
31,25
34,31
31,30
14,12
23,16
19,13
28,52
28,30
20,13
38,14
20,37
34,0
10,27
24,21
37,6
28,27
22,24
17,19
34,18
3,17
41,27
9,6
16,14
30,27
13,17
17,24
12,16
41,3
7,30
45,3
31,21
24,31
17,23
26,23
38,10
17,14
23,20
9,35
29,31
34,24
23,26
23,24
16,19
26,3
26,38
24,42
35,24
6,13
30,20
28,35
34,35
17,13
43,13
19,14
23,27
21,14
26,23
26,29
24,17
7,13
36,17
12,27
30,17
23,22
24,28
24,15
13,19
30,9
6,7
45,7
26,16
29,24
14,34
24,3
31,13
21,9
23,31
20,23
17,31
25,15
20,51
14,31
21,13
42,32
30,20
24,20
13,19
13,28
27,10
27,31
31,37
36,14
20,55
31,13
37,3
34,24
34,24
7,28
23,38
24,24
6,13
13,16
19,14
13,27
24,20
19,23
6,28
43,37
6,31
21,27
20,23
17,38
24,59
30,23
13,10
7,32
34,31
31,38
49,19
10,28
24,23
10,34
14,20
20,13
17,9
24,19
24,21
16,13
31,17
21,31
10,38
30,22
13,23
13,16
18,34
23,14
24,10
23,16
21,27
23,17
33,35
6,7
31,23
13,20
20,17
23,20
38,33
16,17
13,26
12,15
30,7
27,23
10,17
34,24
20,19
23,21
28,31
30,20
14,21
27,13
58,0
52,27
27,20
14,42
13,34
22,36
29,17
34,17
34,0
13,21
21,38
3,24
0,41
50,17
7,31
38,10
27,24
15,0
41,34
14,10
18,31
24,10
13,10
31,34
7,55
23,16
13,20
23,6
27,17
27,20
28,13
17,6
34,12
28,13
33,14
42,13
22,17
28,9
24,10
28,16
38,20
44,38
24,26
23,17
42,7
24,21
13,27
38,3
37,34
0,28
20,13
18,28
19,13
24,10
9,24
14,24
35,38
45,31
30,28
41,28
24,28
13,28
31,34
27,49
23,21
21,24
23,10
17,21
34,24
9,16
23,17
2,28
17,18
7,12
24,27
34,28
31,36
33,27
28,31
10,13
23,24
14,6
24,20
16,17
20,38
33,30
31,24
31,30
24,30
25,21
16,14
23,41
19,9
29,3
10,20
26,16
31,7
23,3
38,0
34,30
7,31
20,27
30,9
20,17
31,27
23,27
27,20
7,27
17,45
23,40
37,21
11,35
20,23
7,31
40,32
10,13
23,20
17,6
3,37
34,27
38,13
30,21
20,52
14,24
30,23
38,17
37,24
20,34
18,26
13,6
22,9
23,26
21,36
28,34
17,26
6,22
51,48
34,3
17,27
28,30
21,27
19,17
24,27
31,17
24,7
13,38
6,19
31,20
35,10
19,35
20,13
32,20
30,27
31,16
19,9
22,34
23,31
23,21
24,27
3,17
6,24
30,15
27,30
45,41
31,17
16,19
31,13
17,16
33,39
7,23
31,13
17,27
35,17
23,17
15,7
30,31
10,42
18,21
49,9
27,13
45,21
44,31
14,9
20,22
28,21
23,13
34,10
30,24
27,23
26,20
49,20
24,27
24,18
31,55
27,24
27,20
27,34
27,13
29,27
10,23
20,17
33,10
21,19
8,38
24,20
10,9
24,27
28,20
49,17
19,22
30,27
20,23
27,37
14,37
20,41
16,24
28,41
28,23
14,27
16,20
27,13
23,20
20,41
27,17
24,20
13,17
21,42
26,26
13,6
3,19
20,16
11,27
21,24
41,38
40,11
19,23
21,24
31,34
27,6
40,10
31,24
22,20
28,32
22,14
24,21
31,34
3,23
6,27
23,20
34,31
13,23
17,10
35,28
24,17
7,34
20,27
22,21
6,27
42,28
26,27
20,34
28,34
37,27
10,45
26,29
51,28
10,30
14,37
19,17
31,13
28,45
20,27
20,27
3,25
24,20
30,48
33,14
26,27
31,38
0,23
30,20
56,31
36,37
16,27
34,37
30,20
18,16
23,13
0,19
14,42
24,13
23,7
37,13
16,20
23,24
13,17
23,20
17,10
38,31
41,7
26,13
11,54
34,24
17,34
7,20
10,30
16,10
20,7
20,6
21,20
14,13
20,34
28,33
20,23
34,14
17,42
27,24
27,9
22,24
44,45
26,24
27,10
20,23
15,23
43,22
23,10
17,24
26,16
23,17
43,8
36,16
23,20
34,6
16,23
30,27
34,17
10,26
19,14
34,37
6,17
33,20
14,20
17,28
31,24
14,35
17,18
6,26
29,10
24,26
10,26
7,24
14,25
10,24
41,10
7,30
17,19
30,21
17,24
31,24
30,14
28,20
30,27
56,14
